,time_period,rainfall,mean_temperature,location,disease_cases
158,2014-03,293.87,24.65,Acre,203.0
159,2014-04,223.282,24.69,Acre,293.0
160,2014-05,132.623,24.0,Acre,439.0
161,2014-06,72.219,23.89,Acre,428.0
162,2014-07,53.068,23.62,Acre,609.0
163,2014-08,85.662,24.84,Acre,1679.0
164,2014-09,124.432,25.99,Acre,7091.0
165,2014-10,206.418,25.53,Acre,8059.0
166,2014-11,283.96,24.99,Acre,5626.0
167,2014-12,277.762,25.0,Acre,3767.0
168,2015-01,336.277,24.28,Acre,2334.0
169,2015-02,287.955,24.97,Acre,1452.0
170,2015-03,333.485,24.76,Acre,929.0
171,2015-04,267.523,24.58,Acre,342.0
172,2015-05,187.802,24.09,Acre,245.0
173,2015-06,69.643,24.19,Acre,224.0
174,2015-07,52.826,24.4,Acre,114.0
175,2015-08,64.388,26.55,Acre,55.0
176,2015-09,82.956,26.91,Acre,71.0
177,2015-10,130.737,26.94,Acre,80.0
178,2015-11,212.699,26.1,Acre,88.0
179,2015-12,204.918,25.92,Acre,162.0
180,2016-01,212.224,26.35,Acre,270.0
181,2016-02,269.139,25.73,Acre,445.0
182,2016-03,273.161,25.55,Acre,354.0
183,2016-04,163.655,25.29,Acre,244.0
184,2016-05,103.626,24.58,Acre,115.0
185,2016-06,41.121,23.98,Acre,70.0
186,2016-07,20.072,25.62,Acre,68.0
187,2016-08,76.28,26.35,Acre,46.0
188,2016-09,143.498,25.6,Acre,43.0
189,2016-10,186.362,25.68,Acre,42.0
190,2016-11,205.542,25.47,Acre,65.0
191,2016-12,247.881,25.39,Acre,103.0
192,2017-01,386.534,24.44,Acre,253.0
193,2017-02,271.348,24.89,Acre,251.0
194,2017-03,301.901,24.82,Acre,212.0
195,2017-04,202.661,24.88,Acre,162.0
196,2017-05,149.251,24.93,Acre,90.0
197,2017-06,57.723,23.92,Acre,65.0
356,2014-03,58.821,26.07,Alagoas,1090.0
357,2014-04,88.865,25.85,Alagoas,1569.0
358,2014-05,100.133,24.2,Alagoas,1941.0
359,2014-06,80.363,23.29,Alagoas,1350.0
360,2014-07,84.025,22.64,Alagoas,1316.0
361,2014-08,66.229,22.3,Alagoas,872.0
362,2014-09,57.834,23.4,Alagoas,598.0
363,2014-10,81.359,23.96,Alagoas,504.0
364,2014-11,95.728,25.24,Alagoas,392.0
365,2014-12,36.89,25.42,Alagoas,389.0
366,2015-01,30.252,26.09,Alagoas,1203.0
367,2015-02,62.402,26.15,Alagoas,1648.0
368,2015-03,48.123,26.36,Alagoas,4943.0
369,2015-04,26.921,26.85,Alagoas,6032.0
370,2015-05,59.344,25.39,Alagoas,4604.0
371,2015-06,91.233,23.66,Alagoas,2817.0
372,2015-07,94.195,22.84,Alagoas,1990.0
373,2015-08,52.979,22.74,Alagoas,1465.0
374,2015-09,28.287,24.22,Alagoas,1780.0
375,2015-10,21.944,25.24,Alagoas,2611.0
376,2015-11,10.556,26.83,Alagoas,4515.0
377,2015-12,27.721,26.66,Alagoas,6903.0
378,2016-01,88.629,26.45,Alagoas,12829.0
379,2016-02,42.645,26.32,Alagoas,10428.0
380,2016-03,51.253,26.73,Alagoas,8636.0
381,2016-04,51.151,25.99,Alagoas,5084.0
382,2016-05,74.278,24.7,Alagoas,1905.0
383,2016-06,60.298,23.88,Alagoas,1060.0
384,2016-07,58.944,22.82,Alagoas,745.0
385,2016-08,30.864,23.31,Alagoas,631.0
386,2016-09,33.071,24.17,Alagoas,421.0
387,2016-10,26.022,25.7,Alagoas,245.0
388,2016-11,19.753,26.39,Alagoas,176.0
389,2016-12,25.775,26.82,Alagoas,212.0
390,2017-01,30.621,26.55,Alagoas,193.0
391,2017-02,27.508,26.81,Alagoas,228.0
392,2017-03,44.26,26.97,Alagoas,293.0
393,2017-04,74.839,26.02,Alagoas,292.0
394,2017-05,155.31,24.72,Alagoas,489.0
395,2017-06,140.805,23.25,Alagoas,500.0
554,2014-03,275.425,24.63,Amapa,40.0
555,2014-04,158.178,24.87,Amapa,224.0
556,2014-05,58.716,24.62,Amapa,505.0
557,2014-06,5.799,24.93,Amapa,231.0
558,2014-07,12.423,25.01,Amapa,105.0
559,2014-08,3.846,26.94,Amapa,48.0
560,2014-09,46.823,27.93,Amapa,117.0
561,2014-10,140.628,27.34,Amapa,443.0
562,2014-11,237.816,25.43,Amapa,310.0
563,2014-12,313.972,24.8,Amapa,112.0
564,2015-01,198.703,25.57,Amapa,350.0
565,2015-02,263.412,24.94,Amapa,505.0
566,2015-03,265.657,24.84,Amapa,866.0
567,2015-04,197.654,24.96,Amapa,456.0
568,2015-05,103.613,24.46,Amapa,365.0
569,2015-06,3.946,25.11,Amapa,199.0
570,2015-07,14.57,25.37,Amapa,171.0
571,2015-08,7.73,27.5,Amapa,142.0
572,2015-09,23.999,29.15,Amapa,138.0
573,2015-10,101.113,28.22,Amapa,78.0
574,2015-11,154.486,26.92,Amapa,149.0
575,2015-12,179.557,26.89,Amapa,74.0
576,2016-01,395.876,25.31,Amapa,105.0
577,2016-02,174.746,26.58,Amapa,282.0
578,2016-03,287.684,25.67,Amapa,422.0
579,2016-04,75.459,26.3,Amapa,321.0
580,2016-05,30.823,26.0,Amapa,208.0
581,2016-06,16.304,24.79,Amapa,86.0
582,2016-07,0.169,25.81,Amapa,72.0
583,2016-08,26.449,26.97,Amapa,102.0
584,2016-09,84.974,26.68,Amapa,92.0
585,2016-10,154.423,26.51,Amapa,92.0
586,2016-11,235.95,25.74,Amapa,62.0
587,2016-12,294.619,25.32,Amapa,45.0
588,2017-01,264.577,25.4,Amapa,103.0
589,2017-02,314.046,24.77,Amapa,183.0
590,2017-03,231.679,25.42,Amapa,196.0
591,2017-04,142.662,25.36,Amapa,80.0
592,2017-05,50.838,25.68,Amapa,107.0
593,2017-06,8.182,24.67,Amapa,59.0
752,2014-03,119.339,23.39,Amazonas,436.0
753,2014-04,64.242,22.69,Amazonas,499.0
754,2014-05,12.615,21.11,Amazonas,220.0
755,2014-06,12.618,20.23,Amazonas,158.0
756,2014-07,35.366,19.53,Amazonas,128.0
757,2014-08,6.685,20.65,Amazonas,134.0
758,2014-09,12.506,23.45,Amazonas,128.0
759,2014-10,73.762,24.08,Amazonas,82.0
760,2014-11,197.252,22.94,Amazonas,154.0
761,2014-12,153.039,23.14,Amazonas,171.0
762,2015-01,50.368,25.73,Amazonas,255.0
763,2015-02,165.328,23.9,Amazonas,238.0
764,2015-03,155.101,23.53,Amazonas,466.0
765,2015-04,69.185,22.71,Amazonas,428.0
766,2015-05,46.706,20.57,Amazonas,262.0
767,2015-06,15.698,20.03,Amazonas,155.0
768,2015-07,10.781,20.43,Amazonas,84.0
769,2015-08,8.067,21.14,Amazonas,66.0
770,2015-09,44.353,24.74,Amazonas,69.0
771,2015-10,44.704,26.18,Amazonas,71.0
772,2015-11,147.218,25.64,Amazonas,61.0
773,2015-12,137.238,25.4,Amazonas,68.0
774,2016-01,373.911,23.36,Amazonas,134.0
775,2016-02,71.936,25.09,Amazonas,357.0
776,2016-03,96.472,24.68,Amazonas,458.0
777,2016-04,25.371,24.58,Amazonas,519.0
778,2016-05,15.516,21.93,Amazonas,218.0
779,2016-06,27.827,19.99,Amazonas,148.0
780,2016-07,5.744,20.52,Amazonas,98.0
781,2016-08,13.05,21.8,Amazonas,78.0
782,2016-09,34.876,23.74,Amazonas,51.0
783,2016-10,94.906,23.9,Amazonas,35.0
784,2016-11,226.219,22.96,Amazonas,59.0
785,2016-12,182.89,23.75,Amazonas,73.0
786,2017-01,100.233,25.08,Amazonas,155.0
787,2017-02,142.527,23.73,Amazonas,227.0
788,2017-03,97.932,24.07,Amazonas,201.0
789,2017-04,34.531,23.05,Amazonas,143.0
790,2017-05,42.657,21.31,Amazonas,59.0
791,2017-06,9.978,20.38,Amazonas,50.0
950,2014-03,339.346,24.61,Bahia,1613.0
951,2014-04,295.909,24.81,Bahia,3094.0
952,2014-05,243.951,24.88,Bahia,2754.0
953,2014-06,97.945,25.54,Bahia,1566.0
954,2014-07,48.49,26.1,Bahia,1010.0
955,2014-08,29.681,27.16,Bahia,715.0
956,2014-09,27.949,27.78,Bahia,671.0
957,2014-10,101.008,27.3,Bahia,659.0
958,2014-11,120.361,26.97,Bahia,516.0
959,2014-12,160.475,26.43,Bahia,516.0
960,2015-01,225.847,25.27,Bahia,996.0
961,2015-02,260.531,24.91,Bahia,2763.0
962,2015-03,363.386,24.62,Bahia,10427.0
963,2015-04,259.809,24.9,Bahia,11214.0
964,2015-05,201.613,24.99,Bahia,9143.0
965,2015-06,80.263,25.58,Bahia,5726.0
966,2015-07,71.438,25.97,Bahia,4973.0
967,2015-08,17.058,27.68,Bahia,3070.0
968,2015-09,7.499,28.98,Bahia,2406.0
969,2015-10,40.756,29.11,Bahia,1714.0
970,2015-11,60.188,28.24,Bahia,2783.0
971,2015-12,91.296,27.67,Bahia,4901.0
972,2016-01,224.258,26.31,Bahia,8131.0
973,2016-02,193.698,26.04,Bahia,22291.0
974,2016-03,382.475,25.5,Bahia,22865.0
975,2016-04,264.878,25.77,Bahia,10043.0
976,2016-05,171.926,25.85,Bahia,4197.0
977,2016-06,81.025,25.5,Bahia,1787.0
978,2016-07,47.797,26.62,Bahia,937.0
979,2016-08,37.299,27.83,Bahia,754.0
980,2016-09,125.084,26.95,Bahia,595.0
981,2016-10,116.055,27.15,Bahia,757.0
982,2016-11,130.076,27.07,Bahia,833.0
983,2016-12,279.455,25.8,Bahia,1187.0
984,2017-01,346.29,24.82,Bahia,1859.0
985,2017-02,376.525,24.55,Bahia,1588.0
986,2017-03,361.722,24.88,Bahia,1355.0
987,2017-04,316.033,25.08,Bahia,1402.0
988,2017-05,154.528,25.81,Bahia,1304.0
989,2017-06,78.128,26.04,Bahia,654.0
1148,2014-03,74.432,26.03,Ceara,1642.0
1149,2014-04,61.07,26.08,Ceara,2405.0
1150,2014-05,78.259,24.85,Ceara,3701.0
1151,2014-06,32.682,24.29,Ceara,3784.0
1152,2014-07,35.842,23.83,Ceara,3483.0
1153,2014-08,13.847,24.0,Ceara,2089.0
1154,2014-09,17.975,24.9,Ceara,1390.0
1155,2014-10,17.419,25.63,Ceara,928.0
1156,2014-11,22.479,26.11,Ceara,790.0
1157,2014-12,18.74,26.49,Ceara,1209.0
1158,2015-01,16.786,26.95,Ceara,1701.0
1159,2015-02,39.173,26.84,Ceara,2573.0
1160,2015-03,102.138,25.98,Ceara,6165.0
1161,2015-04,39.429,26.26,Ceara,10783.0
1162,2015-05,21.703,26.52,Ceara,17255.0
1163,2015-06,33.074,24.66,Ceara,13234.0
1164,2015-07,41.478,23.95,Ceara,6352.0
1165,2015-08,11.993,24.3,Ceara,3663.0
1166,2015-09,8.559,25.51,Ceara,1629.0
1167,2015-10,6.553,26.38,Ceara,754.0
1168,2015-11,4.692,27.1,Ceara,608.0
1169,2015-12,37.945,26.9,Ceara,850.0
1170,2016-01,158.574,25.51,Ceara,1654.0
1171,2016-02,52.982,26.11,Ceara,3778.0
1172,2016-03,61.497,27.1,Ceara,5717.0
1173,2016-04,44.207,26.28,Ceara,9742.0
1174,2016-05,67.177,25.61,Ceara,12049.0
1175,2016-06,17.691,25.03,Ceara,7793.0
1176,2016-07,11.239,24.47,Ceara,4827.0
1177,2016-08,8.259,24.83,Ceara,2985.0
1178,2016-09,7.712,25.8,Ceara,1425.0
1179,2016-10,7.168,26.7,Ceara,1099.0
1180,2016-11,7.058,27.19,Ceara,1751.0
1181,2016-12,17.378,27.29,Ceara,1168.0
1182,2017-01,27.932,27.32,Ceara,2013.0
1183,2017-02,63.939,26.84,Ceara,3907.0
1184,2017-03,85.884,26.33,Ceara,7302.0
1185,2017-04,61.695,26.48,Ceara,12624.0
1186,2017-05,74.28,25.7,Ceara,6982.0
1187,2017-06,51.802,24.51,Ceara,2882.0
1346,2014-03,177.135,21.67,DistritoFederal,1315.0
1347,2014-04,102.708,20.28,DistritoFederal,2469.0
1348,2014-05,125.394,17.35,DistritoFederal,3311.0
1349,2014-06,186.667,16.65,DistritoFederal,2093.0
1350,2014-07,81.451,15.5,DistritoFederal,1449.0
1351,2014-08,51.649,17.59,DistritoFederal,378.0
1352,2014-09,219.943,19.88,DistritoFederal,149.0
1353,2014-10,45.205,22.26,DistritoFederal,37.0
1354,2014-11,163.249,21.74,DistritoFederal,67.0
1355,2014-12,194.859,22.66,DistritoFederal,105.0
1356,2015-01,181.28,24.11,DistritoFederal,302.0
1357,2015-02,201.945,22.66,DistritoFederal,612.0
1358,2015-03,174.273,21.74,DistritoFederal,1039.0
1359,2015-04,85.956,20.12,DistritoFederal,2329.0
1360,2015-05,125.208,17.54,DistritoFederal,2522.0
1361,2015-06,78.417,16.64,DistritoFederal,1674.0
1362,2015-07,261.377,16.29,DistritoFederal,570.0
1363,2015-08,43.427,19.24,DistritoFederal,239.0
1364,2015-09,209.364,20.3,DistritoFederal,107.0
1365,2015-10,198.964,21.81,DistritoFederal,141.0
1366,2015-11,307.504,21.63,DistritoFederal,254.0
1367,2015-12,305.78,22.79,DistritoFederal,463.0
1368,2016-01,203.241,23.35,DistritoFederal,1791.0
1369,2016-02,283.262,23.49,DistritoFederal,4742.0
1370,2016-03,133.993,21.56,DistritoFederal,5670.0
1371,2016-04,68.45,22.51,DistritoFederal,3427.0
1372,2016-05,205.114,16.13,DistritoFederal,2027.0
1373,2016-06,98.695,13.27,DistritoFederal,951.0
1374,2016-07,54.037,15.51,DistritoFederal,378.0
1375,2016-08,165.792,16.84,DistritoFederal,169.0
1376,2016-09,60.984,17.3,DistritoFederal,105.0
1377,2016-10,159.003,20.08,DistritoFederal,90.0
1378,2016-11,94.06,21.52,DistritoFederal,97.0
1379,2016-12,204.545,22.55,DistritoFederal,144.0
1380,2017-01,208.773,23.41,DistritoFederal,177.0
1381,2017-02,139.674,23.78,DistritoFederal,256.0
1382,2017-03,125.277,22.25,DistritoFederal,557.0
1383,2017-04,115.188,19.73,DistritoFederal,620.0
1384,2017-05,186.42,18.66,DistritoFederal,919.0
1385,2017-06,113.992,15.95,DistritoFederal,792.0
1544,2014-03,58.913,25.74,EspiritoSanto,2243.0
1545,2014-04,78.338,25.28,EspiritoSanto,2515.0
1546,2014-05,64.761,23.88,EspiritoSanto,2525.0
1547,2014-06,34.271,23.24,EspiritoSanto,2034.0
1548,2014-07,31.724,22.58,EspiritoSanto,1407.0
1549,2014-08,21.249,22.55,EspiritoSanto,945.0
1550,2014-09,20.626,24.17,EspiritoSanto,844.0
1551,2014-10,23.469,24.85,EspiritoSanto,577.0
1552,2014-11,50.899,25.69,EspiritoSanto,625.0
1553,2014-12,28.731,25.9,EspiritoSanto,658.0
1554,2015-01,19.732,26.65,EspiritoSanto,1097.0
1555,2015-02,60.739,26.11,EspiritoSanto,646.0
1556,2015-03,77.656,25.97,EspiritoSanto,1269.0
1557,2015-04,32.006,26.32,EspiritoSanto,2334.0
1558,2015-05,32.991,25.35,EspiritoSanto,4146.0
1559,2015-06,37.317,23.55,EspiritoSanto,3690.0
1560,2015-07,49.156,22.79,EspiritoSanto,2992.0
1561,2015-08,17.133,23.11,EspiritoSanto,2614.0
1562,2015-09,9.463,25.04,EspiritoSanto,2603.0
1563,2015-10,8.263,26.13,EspiritoSanto,3598.0
1564,2015-11,4.937,27.63,EspiritoSanto,3994.0
1565,2015-12,24.471,27.21,EspiritoSanto,6679.0
1566,2016-01,178.818,25.17,EspiritoSanto,9814.0
1567,2016-02,39.78,25.83,EspiritoSanto,10671.0
1568,2016-03,61.251,26.74,EspiritoSanto,9875.0
1569,2016-04,32.546,25.98,EspiritoSanto,6448.0
1570,2016-05,58.091,24.83,EspiritoSanto,2222.0
1571,2016-06,20.256,23.88,EspiritoSanto,625.0
1572,2016-07,17.433,22.97,EspiritoSanto,401.0
1573,2016-08,10.64,23.6,EspiritoSanto,354.0
1574,2016-09,10.055,24.99,EspiritoSanto,337.0
1575,2016-10,9.404,26.46,EspiritoSanto,324.0
1576,2016-11,9.112,27.16,EspiritoSanto,508.0
1577,2016-12,24.23,27.11,EspiritoSanto,972.0
1578,2017-01,27.389,27.07,EspiritoSanto,1017.0
1579,2017-02,33.86,26.84,EspiritoSanto,746.0
1580,2017-03,68.133,26.74,EspiritoSanto,1321.0
1581,2017-04,51.738,25.76,EspiritoSanto,829.0
1582,2017-05,75.381,24.75,EspiritoSanto,788.0
1583,2017-06,52.54,23.05,EspiritoSanto,550.0
1742,2014-03,160.174,25.48,Goias,12545.0
1743,2014-04,138.97,25.48,Goias,16212.0
1744,2014-05,32.034,26.27,Goias,16586.0
1745,2014-06,2.422,27.05,Goias,9133.0
1746,2014-07,5.055,26.95,Goias,4165.0
1747,2014-08,0.338,27.49,Goias,2756.0
1748,2014-09,1.616,29.1,Goias,2234.0
1749,2014-10,10.79,29.48,Goias,2801.0
1750,2014-11,83.17,28.15,Goias,3304.0
1751,2014-12,73.957,27.62,Goias,4778.0
1752,2015-01,63.018,27.56,Goias,11807.0
1753,2015-02,177.385,26.22,Goias,19384.0
1754,2015-03,176.951,25.51,Goias,32274.0
1755,2015-04,93.843,25.82,Goias,29817.0
1756,2015-05,26.293,26.94,Goias,34411.0
1757,2015-06,7.675,26.98,Goias,18369.0
1758,2015-07,11.387,26.95,Goias,6156.0
1759,2015-08,0.148,27.83,Goias,3116.0
1760,2015-09,0.393,29.89,Goias,1842.0
1761,2015-10,11.107,30.6,Goias,2272.0
1762,2015-11,22.419,30.24,Goias,3715.0
1763,2015-12,25.851,30.12,Goias,7364.0
1764,2016-01,359.367,25.61,Goias,16346.0
1765,2016-02,69.799,26.8,Goias,30447.0
1766,2016-03,138.795,27.28,Goias,32763.0
1767,2016-04,48.621,27.99,Goias,22711.0
1768,2016-05,21.027,28.36,Goias,11271.0
1769,2016-06,3.818,27.56,Goias,4564.0
1770,2016-07,1.126,27.23,Goias,2060.0
1771,2016-08,0.37,28.41,Goias,1712.0
1772,2016-09,9.016,29.63,Goias,1675.0
1773,2016-10,25.499,29.91,Goias,2058.0
1774,2016-11,54.057,29.74,Goias,2656.0
1775,2016-12,92.061,28.09,Goias,3391.0
1776,2017-01,135.155,27.22,Goias,4838.0
1777,2017-02,234.681,25.63,Goias,6293.0
1778,2017-03,198.936,25.64,Goias,9668.0
1779,2017-04,103.977,26.35,Goias,9765.0
1780,2017-05,28.207,27.38,Goias,12352.0
1781,2017-06,2.516,27.04,Goias,8247.0
1940,2014-03,334.127,24.74,Maranhao,455.0
1941,2014-04,197.61,24.89,Maranhao,612.0
1942,2014-05,160.158,24.28,Maranhao,545.0
1943,2014-06,23.297,24.8,Maranhao,365.0
1944,2014-07,26.013,25.29,Maranhao,355.0
1945,2014-08,16.695,27.12,Maranhao,258.0
1946,2014-09,110.779,27.16,Maranhao,210.0
1947,2014-10,202.457,26.27,Maranhao,115.0
1948,2014-11,300.984,25.14,Maranhao,167.0
1949,2014-12,294.512,25.16,Maranhao,272.0
1950,2015-01,305.698,24.95,Maranhao,457.0
1951,2015-02,292.988,24.97,Maranhao,652.0
1952,2015-03,291.681,24.87,Maranhao,2364.0
1953,2015-04,233.424,24.95,Maranhao,2188.0
1954,2015-05,205.305,24.39,Maranhao,1684.0
1955,2015-06,23.29,25.07,Maranhao,1252.0
1956,2015-07,17.755,26.03,Maranhao,781.0
1957,2015-08,32.393,28.4,Maranhao,427.0
1958,2015-09,62.11,28.26,Maranhao,578.0
1959,2015-10,137.86,27.67,Maranhao,523.0
1960,2015-11,168.559,27.02,Maranhao,449.0
1961,2015-12,237.299,26.49,Maranhao,879.0
1962,2016-01,301.264,26.19,Maranhao,2754.0
1963,2016-02,318.448,25.89,Maranhao,6091.0
1964,2016-03,348.08,25.41,Maranhao,7894.0
1965,2016-04,149.354,25.55,Maranhao,6788.0
1966,2016-05,92.37,25.0,Maranhao,2743.0
1967,2016-06,24.206,24.73,Maranhao,1201.0
1968,2016-07,1.18,26.87,Maranhao,594.0
1969,2016-08,56.396,27.04,Maranhao,522.0
1970,2016-09,143.586,25.96,Maranhao,192.0
1971,2016-10,199.293,26.24,Maranhao,183.0
1972,2016-11,234.687,25.74,Maranhao,259.0
1973,2016-12,329.836,25.21,Maranhao,320.0
1974,2017-01,315.987,25.17,Maranhao,410.0
1975,2017-02,296.119,24.91,Maranhao,1606.0
1976,2017-03,268.818,25.25,Maranhao,1698.0
1977,2017-04,176.092,25.14,Maranhao,948.0
1978,2017-05,105.178,25.39,Maranhao,963.0
1979,2017-06,22.002,24.74,Maranhao,537.0
2138,2014-03,124.241,26.34,MatoGrosso,1146.0
2139,2014-04,268.81,25.44,MatoGrosso,1112.0
2140,2014-05,313.913,25.11,MatoGrosso,708.0
2141,2014-06,371.171,24.05,MatoGrosso,397.0
2142,2014-07,216.12,24.22,MatoGrosso,279.0
2143,2014-08,210.253,24.36,MatoGrosso,230.0
2144,2014-09,86.869,25.99,MatoGrosso,299.0
2145,2014-10,182.334,25.43,MatoGrosso,305.0
2146,2014-11,141.21,25.57,MatoGrosso,296.0
2147,2014-12,79.724,26.08,MatoGrosso,497.0
2148,2015-01,102.2,25.68,MatoGrosso,743.0
2149,2015-02,60.002,26.6,MatoGrosso,1025.0
2150,2015-03,144.416,26.05,MatoGrosso,1914.0
2151,2015-04,229.439,25.84,MatoGrosso,2875.0
2152,2015-05,316.909,24.78,MatoGrosso,3368.0
2153,2015-06,305.223,24.23,MatoGrosso,2196.0
2154,2015-07,222.317,24.37,MatoGrosso,1091.0
2155,2015-08,159.362,25.16,MatoGrosso,847.0
2156,2015-09,46.806,27.16,MatoGrosso,769.0
2157,2015-10,32.25,28.71,MatoGrosso,764.0
2158,2015-11,99.931,27.07,MatoGrosso,1369.0
2159,2015-12,45.932,27.31,MatoGrosso,3512.0
2160,2016-01,5.112,28.6,MatoGrosso,5649.0
2161,2016-02,80.829,27.29,MatoGrosso,6711.0
2162,2016-03,93.776,27.97,MatoGrosso,3850.0
2163,2016-04,345.582,25.79,MatoGrosso,1519.0
2164,2016-05,398.296,24.73,MatoGrosso,653.0
2165,2016-06,307.776,24.02,MatoGrosso,317.0
2166,2016-07,272.496,24.16,MatoGrosso,204.0
2167,2016-08,161.578,25.1,MatoGrosso,264.0
2168,2016-09,170.376,25.25,MatoGrosso,270.0
2169,2016-10,126.77,26.48,MatoGrosso,281.0
2170,2016-11,115.946,26.32,MatoGrosso,468.0
2171,2016-12,204.264,25.59,MatoGrosso,712.0
2172,2017-01,196.052,24.91,MatoGrosso,1045.0
2173,2017-02,157.62,24.98,MatoGrosso,1486.0
2174,2017-03,245.283,25.06,MatoGrosso,1903.0
2175,2017-04,230.127,25.3,MatoGrosso,1375.0
2176,2017-05,359.64,24.85,MatoGrosso,945.0
2177,2017-06,344.707,24.45,MatoGrosso,593.0
2336,2014-03,177.41,20.14,MinasGerais,10329.0
2337,2014-04,116.511,18.19,MinasGerais,15502.0
2338,2014-05,148.557,15.32,MinasGerais,10522.0
2339,2014-06,330.982,14.37,MinasGerais,4407.0
2340,2014-07,69.098,13.55,MinasGerais,1391.0
2341,2014-08,82.114,14.87,MinasGerais,628.0
2342,2014-09,230.545,17.06,MinasGerais,653.0
2343,2014-10,71.162,19.63,MinasGerais,740.0
2344,2014-11,125.76,19.93,MinasGerais,874.0
2345,2014-12,187.975,21.3,MinasGerais,1137.0
2346,2015-01,230.64,22.62,MinasGerais,4696.0
2347,2015-02,239.164,21.47,MinasGerais,8311.0
2348,2015-03,160.615,20.33,MinasGerais,26974.0
2349,2015-04,93.131,18.08,MinasGerais,57342.0
2350,2015-05,155.929,15.7,MinasGerais,57764.0
2351,2015-06,143.286,13.97,MinasGerais,18133.0
2352,2015-07,256.753,14.26,MinasGerais,4624.0
2353,2015-08,50.554,17.46,MinasGerais,1788.0
2354,2015-09,251.02,17.1,MinasGerais,1305.0
2355,2015-10,249.916,18.51,MinasGerais,1676.0
